2023-05-02 04:43:27.2935 ERROR Something went wrong: System.TimeoutException: A timeout occurred after 30000ms selecting a server using CompositeServerSelector{ Selectors = MongoDB.Driver.MongoClient+AreSessionsSupportedServerSelector, LatencyLimitingServerSelector{ AllowedLatencyRange = 00:00:00.0150000 }, OperationsCountServerSelector }. Client view of cluster state is { ClusterId : "1", Type : "Unknown", State : "Disconnected", Servers : [{ ServerId: "{ ClusterId : 1, EndPoint : "Unspecified/localhost:27017" }", EndPoint: "Unspecified/localhost:27017", ReasonChanged: "Heartbeat", State: "Disconnected", ServerVersion: , TopologyVersion: , Type: "Unknown", HeartbeatException: "MongoDB.Driver.MongoConnectionException: An exception occurred while opening a connection to the server.
 ---> System.Net.Internals.SocketExceptionFactory+ExtendedSocketException (10061): No connection could be made because the target machine actively refused it. [::1]:27017
   at System.Net.Sockets.Socket.DoConnect(EndPoint endPointSnapshot, SocketAddress socketAddress)
   at System.Net.Sockets.Socket.Connect(EndPoint remoteEP)
   at MongoDB.Driver.Core.Connections.TcpStreamFactory.Connect(Socket socket, EndPoint endPoint, CancellationToken cancellationToken)
   at MongoDB.Driver.Core.Connections.TcpStreamFactory.CreateStream(EndPoint endPoint, CancellationToken cancellationToken)
   at MongoDB.Driver.Core.Connections.BinaryConnection.OpenHelper(CancellationToken cancellationToken)
   --- End of inner exception stack trace ---
   at MongoDB.Driver.Core.Connections.BinaryConnection.OpenHelper(CancellationToken cancellationToken)
   at MongoDB.Driver.Core.Connections.BinaryConnection.Open(CancellationToken cancellationToken)
   at MongoDB.Driver.Core.Servers.ServerMonitor.InitializeConnection(CancellationToken cancellationToken)
   at MongoDB.Driver.Core.Servers.ServerMonitor.Heartbeat(CancellationToken cancellationToken)", LastHeartbeatTimestamp: "2023-05-01T21:43:23.6814795Z", LastUpdateTimestamp: "2023-05-01T21:43:23.6814801Z" }] }.
   at MongoDB.Driver.Core.Clusters.Cluster.ThrowTimeoutException(IServerSelector selector, ClusterDescription description)
   at MongoDB.Driver.Core.Clusters.Cluster.WaitForDescriptionChangedHelper.HandleCompletedTask(Task completedTask)
   at MongoDB.Driver.Core.Clusters.Cluster.WaitForDescriptionChanged(IServerSelector selector, ClusterDescription description, Task descriptionChangedTask, TimeSpan timeout, CancellationToken cancellationToken)
   at MongoDB.Driver.Core.Clusters.Cluster.SelectServer(IServerSelector selector, CancellationToken cancellationToken)
   at MongoDB.Driver.MongoClient.AreSessionsSupportedAfterServerSelection(CancellationToken cancellationToken)
   at MongoDB.Driver.MongoClient.AreSessionsSupported(CancellationToken cancellationToken)
   at MongoDB.Driver.MongoClient.StartImplicitSession(CancellationToken cancellationToken)
   at MongoDB.Driver.OperationExecutor.StartImplicitSession(CancellationToken cancellationToken)
   at MongoDB.Driver.MongoCollectionImpl`1.UsingImplicitSession[TResult](Func`2 func, CancellationToken cancellationToken)
   at MongoDB.Driver.MongoCollectionImpl`1.FindSync[TProjection](FilterDefinition`1 filter, FindOptions`2 options, CancellationToken cancellationToken)
   at MongoDB.Driver.FindFluent`2.ToCursor(CancellationToken cancellationToken)
   at MongoDB.Driver.IAsyncCursorSourceExtensions.ToList[TDocument](IAsyncCursorSource`1 source, CancellationToken cancellationToken)
   at BACKEND.Repository.Data_Re.DTSU666_Repository.GetAllAsync(DTSU666_DataShapping_Dto repuestShapping, Nullable`1 start, Nullable`1 end) in D:\DATNK15\BACKEND\BACKEND\Repository\Data_Re\DTSU666_Repository.cs:line 49
   at BACKEND.Controllers.Data_Co.DTSU666Controller.GetAllAsync(DTSU666_DataShapping_Dto repuestShapping, Nullable`1 start, Nullable`1 end) in D:\DATNK15\BACKEND\BACKEND\Controllers\Data_Co\DTSU666Controller.cs:line 35
   at Microsoft.AspNetCore.Mvc.Infrastructure.ActionMethodExecutor.TaskOfIActionResultExecutor.Execute(IActionResultTypeMapper mapper, ObjectMethodExecutor executor, Object controller, Object[] arguments)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.<InvokeActionMethodAsync>g__Awaited|12_0(ControllerActionInvoker invoker, ValueTask`1 actionResultValueTask)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.<InvokeNextActionFilterAsync>g__Awaited|10_0(ControllerActionInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Rethrow(ActionExecutedContextSealed context)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.Next(State& next, Scope& scope, Object& state, Boolean& isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker.InvokeInnerFilterAsync()
--- End of stack trace from previous location ---
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeFilterPipelineAsync>g__Awaited|19_0(ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted)
   at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeAsync>g__Awaited|17_0(ResourceInvoker invoker, Task task, IDisposable scope)
   at Microsoft.AspNetCore.Routing.EndpointMiddleware.<Invoke>g__AwaitRequestTask|6_0(Endpoint endpoint, Task requestTask, ILogger logger)
   at Microsoft.AspNetCore.Authorization.AuthorizationMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Diagnostics.ExceptionHandlerMiddleware.<Invoke>g__Awaited|6_0(ExceptionHandlerMiddleware middleware, HttpContext context, Task task)
2023-05-02 04:59:20.0986 INFO ========>>>>>>> POST successful
2023-05-02 04:59:20.3771 INFO ========>>>>>>> POST successful
2023-05-02 04:59:52.4732 INFO ========>>>>>>> POST successful
2023-05-02 04:59:52.5186 INFO ========>>>>>>> POST successful
2023-05-02 05:00:24.6172 INFO ========>>>>>>> POST successful
2023-05-02 05:00:24.6694 INFO ========>>>>>>> POST successful
2023-05-02 05:00:56.7401 INFO ========>>>>>>> POST successful
2023-05-02 05:00:56.7877 INFO ========>>>>>>> POST successful
2023-05-02 05:01:29.0521 INFO ========>>>>>>> POST successful
2023-05-02 05:01:29.1148 INFO ========>>>>>>> POST successful
2023-05-02 05:02:01.9070 INFO ========>>>>>>> POST successful
2023-05-02 05:02:01.9672 INFO ========>>>>>>> POST successful
2023-05-02 05:02:34.0406 INFO ========>>>>>>> POST successful
2023-05-02 05:02:34.0945 INFO ========>>>>>>> POST successful
2023-05-02 05:03:06.3840 INFO ========>>>>>>> POST successful
2023-05-02 05:03:06.4643 INFO ========>>>>>>> POST successful
2023-05-02 05:03:38.6077 INFO ========>>>>>>> POST successful
2023-05-02 05:03:38.6693 INFO ========>>>>>>> POST successful
2023-05-02 05:04:10.7898 INFO ========>>>>>>> POST successful
2023-05-02 05:04:10.8497 INFO ========>>>>>>> POST successful
2023-05-02 05:04:42.9456 INFO ========>>>>>>> POST successful
2023-05-02 05:04:42.9978 INFO ========>>>>>>> POST successful
2023-05-02 05:05:15.0911 INFO ========>>>>>>> POST successful
2023-05-02 05:05:15.1465 INFO ========>>>>>>> POST successful
2023-05-02 05:05:47.2783 INFO ========>>>>>>> POST successful
2023-05-02 05:05:47.3261 INFO ========>>>>>>> POST successful
2023-05-02 05:06:19.3674 INFO ========>>>>>>> POST successful
2023-05-02 05:06:19.4176 INFO ========>>>>>>> POST successful
2023-05-02 05:06:51.5077 INFO ========>>>>>>> POST successful
2023-05-02 05:06:51.5703 INFO ========>>>>>>> POST successful
2023-05-02 05:07:23.6810 INFO ========>>>>>>> POST successful
2023-05-02 05:07:23.7381 INFO ========>>>>>>> POST successful
